Confluency	Bead:Cell Ratio	"Activated fraction (average)"	"Activated fraction (standard deviation)"
0.125	0	0	0
0.25	0	0	0
0.5	0	0	0
1	0	0	0
0.125	0.003	0.00288	0.0029103785
0.25	0.003	0.00674	0.0027325941
0.5	0.003	0.01244	0.0024631424
1	0.003	0.02444	0.0014306882
0.125	0.01	0.01172	0.0063150934
0.25	0.01	0.02127	0.0054566334
0.5	0.01	0.03981	0.0040767758
1	0.01	0.07534	0.0024503968
0.125	0.03	0.03049	0.0108985172
0.25	0.03	0.0577	0.0094179069
0.5	0.03	0.10865	0.0063760521
1	0.03	0.20578	0.0054505676
0.125	0.1	0.08681	0.0161005019
0.25	0.1	0.16478	0.0152571096
0.5	0.1	0.30314	0.0112878052
1	0.1	0.52421	0.0113745196
0.125	0.3	0.20218	0.0243266408
0.25	0.3	0.37289	0.0211234443
0.5	0.3	0.61348	0.0145000731
1	0.3	0.8658	0.0109857575
0.125	1	0.38986	0.0373741714
0.25	1	0.63969	0.0307753985
0.5	1	0.88938	0.0131608388
1	1	0.99369	0.0031962573
0.125	3	0.52861	0.0614876016
0.25	3	0.80621	0.0316822274
0.5	3	0.97048	0.0093100142
1	3	0.9999	0.0004380858
